,price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,code
0,95.0,64.0,45.0,6.0,14.5,10.0,1.0,0.0,1.0,2
1,110.0,75.0,43.0,10.0,13.5,15.0,0.0,0.0,1.0,6
2,180.0,72.0,45.0,10.0,3.0,3.0,1.0,1.0,1.0,1
3,106.0,58.0,44.0,6.0,,10.0,0.0,0.0,0.0,4
4,86.0,56.0,42.0,5.0,,5.0,1.0,1.0,0.0,5
5,165.0,76.0,52.0,9.0,8.0,2.0,1.0,1.0,1.0,1
6,125.0,83.0,48.0,9.0,12.0,3.0,1.0,0.0,1.0,5
7,110.0,83.0,47.0,10.0,17.0,10.0,1.0,0.0,1.0,4
8,138.0,73.0,52.0,9.0,10.5,15.0,1.0,1.0,1.0,3
9,95.0,65.0,46.0,8.0,13.5,7.0,0.0,0.0,0.0,6
10,288.0,106.0,71.0,9.0,9.0,10.0,1.0,1.0,1.0,3
11,90.0,51.0,35.0,6.0,7.0,3.0,1.0,0.0,1.0,4
12,85.0,60.0,43.0,6.0,12.0,5.0,1.0,1.0,1.0,7
13,133.0,85.0,50.0,9.0,12.0,10.0,0.0,0.0,1.0,7
14,123.0,70.0,47.0,8.0,12.0,7.0,0.0,0.0,1.0,7
15,183.6,80.0,40.0,25.0,10.5,10.0,0.0,0.0,1.0,3
16,145.0,85.0,54.0,11.0,8.0,10.0,0.0,1.0,1.0,1
17,78.0,55.0,37.0,6.0,11.5,2.0,1.0,1.0,1.0,6
18,102.0,58.0,38.0,6.0,15.5,8.0,1.0,0.0,1.0,1
19,130.0,72.0,42.0,9.0,12.0,5.0,1.0,0.0,1.0,1
20,79.0,51.0,34.0,6.0,13.5,10.0,1.0,0.0,1.0,6
21,114.0,74.0,44.0,11.0,12.7,10.0,1.0,0.0,1.0,5
22,150.0,80.0,53.0,8.0,9.0,3.0,1.0,1.0,1.0,4
23,115.0,80.0,45.0,10.0,,10.0,0.0,0.0,1.0,6
24,189.6,88.0,61.0,9.0,10.5,15.0,1.0,1.0,1.0,3
25,77.0,61.0,45.0,6.0,13.5,5.0,0.0,0.0,0.0,6
26,217.2,86.0,51.0,11.0,10.5,10.0,0.0,0.0,0.0,3
27,130.0,83.0,48.0,9.0,,5.0,1.0,0.0,1.0,5
28,104.0,73.0,44.0,10.0,13.0,5.0,0.0,0.0,1.0,5
29,200.0,101.0,68.0,10.0,11.0,10.0,1.0,1.0,1.0,8
30,76.0,53.0,39.0,6.0,12.0,10.0,1.0,0.0,1.0,5
31,128.0,78.0,54.0,9.0,6.5,5.0,1.0,0.0,1.0,5
32,140.0,80.0,45.0,13.0,13.5,5.0,0.0,0.0,1.0,1
33,155.0,85.0,53.0,7.0,4.5,10.0,1.0,0.0,0.0,8
34,140.0,86.0,51.0,10.0,12.7,10.0,1.0,0.0,1.0,5
35,108.0,60.0,45.0,5.0,10.5,10.0,0.0,0.0,1.0,3
36,112.0,63.0,35.0,8.0,11.0,7.0,1.0,0.0,1.0,8
37,117.0,81.0,46.0,10.0,,10.0,1.0,0.0,1.0,2
38,132.0,70.0,42.0,10.0,14.5,7.0,0.0,0.0,1.0,3
39,190.8,107.0,64.0,13.0,14.5,10.0,0.0,1.0,1.0,3
40,100.0,70.0,44.0,8.0,15.5,7.0,0.0,0.0,0.0,1
41,230.4,123.0,68.0,16.0,14.5,10.0,0.0,0.0,0.0,3
42,120.0,59.0,45.0,6.0,3.0,3.0,1.0,0.0,1.0,1
43,88.0,63.0,37.0,8.0,13.0,5.0,0.0,0.0,1.0,5
44,100.0,80.0,51.0,10.0,,10.0,0.0,0.0,1.0,6
45,122.0,81.0,46.0,13.0,12.0,15.0,1.0,0.0,1.0,5
46,103.0,77.0,46.0,11.0,13.0,5.0,0.0,0.0,1.0,5
47,140.0,77.0,46.0,10.0,8.0,10.0,1.0,0.0,1.0,1
48,174.0,62.0,41.0,9.0,9.0,5.0,1.0,0.0,1.0,3
49,95.0,82.0,50.0,10.0,12.0,10.0,0.0,0.0,1.0,5
50,222.0,134.0,75.0,16.0,12.0,5.0,1.0,0.0,1.0,7
51,128.0,83.0,44.0,10.0,7.0,2.0,1.0,0.0,1.0,5
52,120.0,63.0,43.0,9.0,,1.0,1.0,0.0,0.0,8
53,124.0,77.0,44.0,10.0,14.5,5.0,0.0,0.0,1.0,2
54,177.0,80.0,50.0,9.0,,2.0,1.0,0.0,0.0,8
55,144.0,75.0,45.0,10.0,14.5,10.0,0.0,0.0,1.0,3
56,169.0,80.0,50.0,8.0,10.0,5.0,1.0,1.0,1.0,6
57,210.0,79.0,53.0,8.0,7.0,5.0,1.0,1.0,1.0,4
58,95.0,63.0,38.0,8.0,12.5,5.0,1.0,0.0,1.0,2
59,134.0,84.0,52.0,8.0,12.0,7.0,1.0,1.0,1.0,8
60,80.0,58.0,43.0,6.0,10.0,10.0,1.0,1.0,1.0,6
61,160.0,73.0,41.0,8.0,7.0,5.0,0.0,0.0,0.0,4
62,90.0,64.0,39.0,9.0,6.0,5.0,0.0,1.0,1.0,6
63,95.0,57.0,41.0,6.0,4.5,7.0,1.0,1.0,0.0,8
64,85.0,57.0,37.0,5.0,12.0,7.0,0.0,0.0,1.0,8
65,150.0,75.0,52.0,9.0,10.5,5.0,0.0,1.0,1.0,3
66,101.0,55.0,39.0,6.0,4.5,12.0,1.0,1.0,0.0,8
67,126.0,83.0,50.0,9.0,14.5,15.0,1.0,0.0,0.0,2
68,105.6,51.0,34.0,6.0,14.5,10.0,1.0,0.0,1.0,3
69,80.0,52.0,34.0,6.0,17.0,10.0,1.0,0.0,0.0,4
70,145.0,81.0,46.0,10.0,15.5,5.0,1.0,0.0,1.0,1
71,168.0,87.0,57.0,7.0,10.5,3.0,1.0,1.0,1.0,3
72,460.0,153.0,84.0,18.0,,5.0,1.0,1.0,1.0,4
73,138.0,66.0,44.0,14.0,4.5,2.0,1.0,0.0,1.0,8
74,94.0,61.0,38.0,9.0,,5.0,0.0,0.0,1.0,7
75,153.6,57.0,38.0,6.0,,5.0,1.0,1.0,1.0,3
76,115.0,66.0,40.0,8.0,12.5,5.0,1.0,0.0,0.0,2
77,210.0,79.0,47.0,9.0,14.5,7.0,1.0,1.0,1.0,3
78,121.0,81.0,46.0,8.0,12.0,2.0,1.0,0.0,1.0,5
79,112.0,75.0,42.0,10.0,12.0,5.0,0.0,0.0,1.0,5
80,105.0,75.0,46.0,10.0,13.0,7.0,0.0,0.0,0.0,5
81,110.0,60.0,37.0,9.0,12.5,7.0,1.0,0.0,1.0,2
82,100.8,60.0,43.0,6.0,14.5,5.0,0.0,0.0,1.0,3
83,185.0,95.0,57.0,12.0,,5.0,1.0,0.0,0.0,4
84,123.0,74.0,48.0,10.0,12.5,15.0,1.0,0.0,1.0,2
85,92.0,63.0,38.0,8.0,12.0,10.0,0.0,0.0,1.0,8
86,129.0,66.0,44.0,9.0,9.0,15.0,1.0,0.0,0.0,4
87,95.0,62.0,45.0,7.0,12.5,10.0,1.0,1.0,1.0,2
88,105.0,56.0,43.0,6.0,3.0,10.0,1.0,1.0,1.0,1
89,128.0,70.0,50.0,8.0,5.0,5.0,1.0,1.0,0.0,4
90,98.4,60.0,44.0,6.0,14.5,7.0,0.0,0.0,1.0,3
91,130.0,75.0,45.0,10.0,12.0,10.0,0.0,0.0,1.0,8
92,115.0,68.0,43.0,9.0,,5.0,1.0,0.0,1.0,2
93,130.0,74.0,53.0,7.0,4.5,7.0,1.0,1.0,1.0,8
94,230.0,80.0,46.0,13.0,5.0,4.0,1.0,1.0,1.0,4
95,98.0,58.0,42.0,6.0,12.0,10.0,1.0,1.0,1.0,8
96,155.0,64.0,36.0,8.0,8.0,7.0,1.0,1.0,0.0,1
97,92.0,66.0,44.0,9.0,11.5,7.0,1.0,0.0,0.0,6
98,95.0,67.0,45.0,10.0,12.0,10.0,0.0,0.0,1.0,8
99,108.0,56.0,41.0,6.0,3.5,5.0,1.0,1.0,0.0,7
100,125.0,93.0,66.0,9.0,6.0,5.0,1.0,1.0,0.0,6
101,150.0,75.0,46.0,11.0,9.0,15.0,1.0,0.0,1.0,4
102,80.0,60.0,44.0,6.0,13.5,5.0,1.0,0.0,1.0,6
103,125.0,77.0,40.0,11.0,13.0,10.0,0.0,1.0,1.0,5
104,77.0,58.0,37.0,5.0,7.0,12.0,0.0,0.0,1.0,5
105,140.0,78.0,46.0,11.0,12.0,5.0,1.0,0.0,1.0,8
106,125.0,78.0,52.0,7.0,11.0,7.0,1.0,1.0,1.0,8
107,153.0,76.0,46.0,10.0,9.0,5.0,0.0,0.0,1.0,4
108,115.0,80.0,54.0,12.0,12.7,5.0,0.0,0.0,1.0,5
109,99.6,53.0,34.0,6.0,14.5,8.0,0.0,0.0,0.0,3
110,135.0,72.0,49.0,8.0,8.0,5.0,0.0,1.0,1.0,1
111,92.0,60.0,44.0,6.0,12.0,5.0,0.0,0.0,1.0,7
112,85.0,59.0,40.0,6.0,10.0,5.0,0.0,0.0,1.0,6
113,115.0,74.0,54.0,9.0,,12.0,1.0,1.0,0.0,8
114,105.0,64.0,38.0,8.0,14.5,10.0,0.0,0.0,1.0,2
115,156.0,56.0,41.0,6.0,9.0,5.0,1.0,1.0,0.0,3
116,86.0,55.0,40.0,5.0,7.0,2.0,0.0,0.0,1.0,4
117,135.0,80.0,51.0,13.0,13.5,5.0,0.0,0.0,1.0,1
118,97.2,58.0,40.0,6.0,12.5,7.0,1.0,1.0,1.0,3
119,105.0,67.0,45.0,8.0,7.5,5.0,0.0,0.0,0.0,8
120,93.0,59.0,39.0,6.0,15.5,10.0,1.0,0.0,1.0,1
121,130.0,81.0,49.0,9.0,13.0,10.0,0.0,1.0,1.0,5
122,99.0,60.0,44.0,6.0,12.5,10.0,1.0,0.0,1.0,2
123,93.0,64.0,45.0,7.0,14.5,3.0,1.0,0.0,1.0,2
124,112.0,76.0,46.0,10.0,12.0,10.0,0.0,0.0,1.0,7
125,144.0,77.0,43.0,8.0,10.5,10.0,0.0,0.0,1.0,3
126,84.0,59.0,44.0,6.0,12.0,10.0,1.0,0.0,1.0,5
127,252.0,72.0,49.0,7.0,7.5,5.0,1.0,1.0,1.0,3
128,145.0,73.0,45.0,7.0,9.0,1.0,1.0,1.0,1.0,4
129,112.8,64.0,45.0,7.0,14.5,10.0,0.0,0.0,1.0,3
130,240.0,105.0,55.0,23.0,10.0,5.0,1.0,0.0,1.0,6
131,103.0,64.0,40.0,8.0,17.0,5.0,1.0,0.0,1.0,2
132,108.0,66.0,43.0,7.0,17.0,5.0,1.0,0.0,1.0,4
133,108.0,76.0,46.0,10.0,12.0,10.0,1.0,0.0,1.0,5
134,220.0,81.0,46.0,13.0,9.0,7.0,1.0,0.0,1.0,4
135,124.0,96.0,52.0,10.0,13.5,5.0,1.0,0.0,1.0,1
136,135.0,80.0,47.0,9.0,12.0,7.0,0.0,0.0,1.0,5
137,95.0,64.0,40.0,8.0,15.5,15.0,1.0,0.0,1.0,1
138,87.0,61.0,43.0,6.0,12.0,15.0,1.0,0.0,1.0,7
139,155.0,81.0,44.0,10.0,13.5,10.0,0.0,0.0,1.0,6
140,125.0,76.0,45.0,10.0,15.5,10.0,0.0,0.0,1.0,1
141,92.0,62.0,39.0,7.0,12.0,10.0,1.0,0.0,1.0,5
142,118.0,86.0,54.0,10.0,12.0,15.0,1.0,0.0,1.0,5
143,135.0,75.0,46.0,10.0,7.0,12.0,0.0,0.0,1.0,4
144,160.0,80.0,51.0,13.0,7.5,5.0,1.0,1.0,1.0,8
145,120.0,81.0,48.0,8.0,13.0,7.0,1.0,0.0,1.0,5
146,119.0,77.0,45.0,10.0,13.0,10.0,0.0,0.0,1.0,5
147,125.0,78.0,45.0,10.0,12.0,7.0,0.0,0.0,1.0,7
148,95.0,51.0,34.0,6.0,12.0,5.0,0.0,0.0,1.0,8
149,138.0,77.0,45.0,11.0,10.5,10.0,1.0,0.0,1.0,7
150,153.0,75.0,45.0,10.0,7.0,15.0,1.0,0.0,0.0,4
151,198.0,65.0,45.0,9.0,9.0,10.0,1.0,1.0,1.0,3
152,80.0,54.0,35.0,6.0,12.0,8.0,1.0,1.0,0.0,7
153,110.0,77.0,46.0,8.0,12.0,12.0,0.0,0.0,0.0,7
154,117.0,78.0,44.0,10.0,12.0,5.0,1.0,0.0,1.0,5
155,96.0,60.0,43.0,6.0,13.5,10.0,1.0,0.0,1.0,6
156,181.2,111.0,64.0,16.0,,10.0,0.0,1.0,1.0,3
157,180.0,79.0,45.0,10.0,8.0,15.0,1.0,0.0,1.0,1
158,120.0,75.0,45.0,10.0,13.5,10.0,0.0,0.0,1.0,6
159,135.0,68.0,32.0,13.0,3.0,10.0,1.0,1.0,1.0,1
160,113.0,85.0,46.0,10.0,12.0,15.0,0.0,0.0,1.0,7
161,90.0,60.0,45.0,6.0,13.5,5.0,1.0,0.0,1.0,6
162,149.0,84.0,46.0,10.0,13.5,7.0,0.0,0.0,1.0,1
163,145.0,88.0,52.0,12.0,6.5,7.0,1.0,1.0,1.0,5
164,93.0,59.0,38.0,6.0,13.5,7.0,1.0,0.0,0.0,6
165,170.0,89.0,51.0,12.0,12.7,6.0,1.0,0.0,0.0,5
166,123.0,58.0,40.0,7.0,,5.0,0.0,1.0,1.0,1
167,105.0,66.0,48.0,8.0,12.0,1.0,1.0,0.0,0.0,5
168,115.0,78.0,48.0,10.0,12.0,10.0,0.0,0.0,0.0,7
169,114.0,77.0,45.0,10.0,12.0,10.0,0.0,0.0,1.0,7
170,82.0,62.0,44.0,6.0,12.5,10.0,0.0,0.0,0.0,2
171,110.0,65.0,41.0,11.0,12.5,15.0,1.0,1.0,1.0,8
172,132.0,58.0,43.0,6.0,14.5,10.0,1.0,1.0,1.0,3
173,127.0,74.0,42.0,9.0,12.0,5.0,1.0,0.0,1.0,1
174,131.0,76.0,45.0,10.0,12.0,7.0,1.0,0.0,1.0,1
175,105.0,68.0,41.0,8.0,17.0,5.0,1.0,0.0,0.0,2
176,103.0,64.0,45.0,7.0,15.5,5.0,1.0,0.0,1.0,1
177,125.0,83.0,48.0,9.0,12.0,3.0,1.0,0.0,1.0,5
178,95.0,72.0,44.0,10.0,12.7,10.0,1.0,0.0,0.0,5
179,140.0,81.0,50.0,7.0,12.0,10.0,1.0,1.0,0.0,8
180,97.0,53.0,34.0,6.0,9.0,5.0,1.0,0.0,1.0,4
181,145.0,76.0,48.0,9.0,13.5,10.0,0.0,0.0,1.0,6
182,105.0,75.0,42.0,8.0,13.5,10.0,0.0,0.0,1.0,6
183,185.0,80.0,53.0,9.0,7.5,10.0,1.0,1.0,1.0,8
184,136.79999999999998,79.0,45.0,13.0,14.5,7.0,0.0,0.0,1.0,3
185,130.0,73.0,47.0,9.0,11.0,10.0,1.0,1.0,1.0,5
186,93.0,55.0,39.0,6.0,8.0,10.0,1.0,1.0,0.0,1
187,115.0,80.0,48.0,11.0,12.7,5.0,0.0,0.0,1.0,5
188,95.0,62.0,38.0,8.0,12.5,3.0,1.0,0.0,0.0,2
189,185.0,108.0,65.0,12.0,13.5,10.0,0.0,0.0,1.0,6
190,127.0,92.0,50.0,11.0,6.5,10.0,1.0,0.0,1.0,5
191,222.0,90.0,54.0,13.0,7.5,7.0,1.0,1.0,1.0,3
192,125.0,78.0,38.0,11.0,12.7,10.0,1.0,0.0,1.0,5
193,115.0,77.0,51.0,7.0,5.0,5.0,1.0,1.0,0.0,4
194,113.0,75.0,45.0,10.0,13.0,10.0,1.0,0.0,1.0,5
195,110.0,74.0,45.0,12.0,12.7,1.0,1.0,0.0,0.0,5
196,118.0,68.0,49.0,11.0,7.5,7.0,1.0,0.0,0.0,8
197,120.0,67.0,45.0,7.0,13.5,10.0,1.0,0.0,1.0,1
198,102.0,65.0,44.0,7.0,15.5,5.0,1.0,0.0,1.0,1
199,145.0,69.0,47.0,7.0,3.5,10.0,1.0,1.0,1.0,7
200,200.0,87.0,60.0,15.0,11.5,3.0,1.0,1.0,1.0,6
201,115.0,75.0,42.0,8.0,12.0,15.0,0.0,0.0,1.0,7
202,176.4,111.0,65.0,16.0,14.5,6.0,0.0,1.0,1.0,3
203,145.0,72.0,50.0,7.0,4.5,5.0,1.0,1.0,0.0,8
204,110.0,60.0,45.0,6.0,12.0,5.0,1.0,0.0,1.0,8
205,105.0,76.0,40.0,11.0,12.7,5.0,0.0,0.0,1.0,5
206,110.0,77.0,45.0,10.0,12.0,5.0,0.0,0.0,1.0,5
207,135.0,81.0,53.0,8.0,11.5,4.0,1.0,1.0,1.0,6
208,110.0,80.0,43.0,10.0,12.0,15.0,0.0,0.0,1.0,7
209,115.0,77.0,50.0,9.0,6.0,10.0,1.0,1.0,1.0,6
210,147.0,80.0,45.0,13.0,4.5,15.0,1.0,0.0,1.0,8
211,170.0,77.0,52.0,7.0,3.0,15.0,1.0,1.0,1.0,1
212,97.0,77.0,47.0,9.0,14.5,10.0,1.0,0.0,0.0,2
213,155.0,80.0,46.0,13.0,12.0,15.0,1.0,0.0,0.0,8
214,87.0,56.0,37.0,6.0,7.0,7.0,0.0,0.0,1.0,4
215,118.0,78.0,52.0,9.0,11.0,5.0,1.0,1.0,1.0,5
216,114.0,73.0,44.0,10.0,13.5,10.0,0.0,0.0,0.0,6
217,120.0,76.0,45.0,10.0,,10.0,0.0,0.0,1.0,7
218,120.0,67.0,46.0,10.0,9.0,10.0,1.0,0.0,1.0,4
219,180.0,83.0,58.0,10.0,3.0,10.0,1.0,1.0,1.0,1
220,173.0,80.0,50.0,8.0,6.0,10.0,1.0,1.0,1.0,6
221,127.0,65.0,43.0,7.0,9.0,5.0,0.0,0.0,1.0,4
222,78.0,52.0,34.0,6.0,,15.0,1.0,0.0,1.0,5
223,90.0,65.0,46.0,7.0,14.5,5.0,1.0,0.0,1.0,2
224,105.0,66.0,44.0,7.0,3.5,10.0,1.0,0.0,1.0,7
225,107.0,77.0,46.0,10.0,12.0,10.0,1.0,0.0,1.0,5
226,108.0,66.0,44.0,9.0,12.0,5.0,1.0,0.0,1.0,7
227,135.0,84.0,55.0,11.0,3.0,15.0,1.0,1.0,1.0,1
228,119.0,68.0,45.0,8.0,6.0,10.0,1.0,0.0,1.0,6
229,138.0,68.0,46.0,7.0,14.5,15.0,1.0,0.0,1.0,3
230,180.0,85.0,57.0,10.0,9.0,7.0,1.0,1.0,0.0,3
231,95.0,65.0,45.0,7.0,,12.0,1.0,0.0,1.0,2
232,82.0,55.0,36.0,6.0,10.0,7.0,1.0,0.0,0.0,6
233,105.0,78.0,45.0,10.0,13.0,10.0,0.0,0.0,1.0,5
234,99.0,72.0,50.0,9.0,7.5,10.0,0.0,1.0,1.0,8
235,194.4,90.0,61.0,10.0,10.5,3.0,1.0,1.0,1.0,3
236,216.0,83.0,53.0,8.0,10.5,5.0,1.0,0.0,1.0,3
237,125.0,76.0,47.0,11.0,11.0,7.0,1.0,0.0,1.0,5
238,102.0,55.0,38.0,6.0,10.5,5.0,0.0,1.0,0.0,3
239,140.0,83.0,53.0,12.0,12.0,15.0,0.0,0.0,1.0,7
240,82.0,60.0,45.0,6.0,,10.0,0.0,0.0,1.0,6
241,204.0,71.0,47.0,8.0,7.5,10.0,1.0,1.0,1.0,3
242,133.0,75.0,52.0,9.0,3.0,15.0,1.0,1.0,0.0,1
243,115.0,76.0,45.0,11.0,12.0,5.0,1.0,0.0,1.0,1
244,85.0,59.0,43.0,6.0,13.5,15.0,0.0,0.0,1.0,1
245,116.0,82.0,44.0,10.0,12.7,15.0,1.0,0.0,1.0,5
246,212.0,112.0,60.0,17.0,7.0,10.0,1.0,0.0,1.0,4
247,118.0,78.0,46.0,10.0,13.5,10.0,1.0,0.0,1.0,6
248,96.0,60.0,40.0,8.0,12.5,10.0,1.0,0.0,1.0,2
249,98.0,72.0,44.0,7.0,11.5,7.0,1.0,1.0,0.0,6
250,120.0,80.0,47.0,9.0,13.5,10.0,0.0,0.0,1.0,6
251,175.0,83.0,55.0,9.0,3.0,15.0,1.0,1.0,1.0,1
252,138.0,79.0,47.0,10.0,,10.0,1.0,0.0,1.0,4
253,95.0,67.0,45.0,9.0,13.5,10.0,0.0,0.0,0.0,1
254,150.0,54.0,39.0,6.0,7.0,3.0,1.0,1.0,1.0,4
255,250.0,74.0,47.0,10.0,3.0,5.0,1.0,1.0,0.0,1
256,130.0,74.0,45.0,10.0,12.0,1.0,1.0,0.0,1.0,1
257,107.0,76.0,44.0,9.0,13.0,15.0,1.0,0.0,1.0,5
258,168.0,81.0,55.0,8.0,9.0,7.0,0.0,1.0,0.0,3
259,110.0,79.0,46.0,10.0,13.0,5.0,1.0,0.0,1.0,5
260,169.0,70.0,44.0,8.0,8.0,5.0,1.0,1.0,1.0,1
261,154.79999999999995,99.0,55.0,11.0,10.5,15.0,1.0,0.0,0.0,3
262,115.0,74.0,45.0,10.0,12.7,15.0,1.0,0.0,1.0,5
263,152.0,95.0,62.0,10.0,12.7,5.0,1.0,0.0,1.0,5
264,135.0,79.0,45.0,13.0,15.5,7.0,1.0,0.0,1.0,1
265,99.0,65.0,46.0,6.0,17.0,7.0,1.0,0.0,1.0,2
266,211.2,104.0,55.0,11.0,9.0,5.0,1.0,0.0,1.0,3
267,126.0,74.0,43.0,10.0,12.5,3.0,1.0,0.0,1.0,2
268,95.0,58.0,39.0,6.0,9.0,5.0,1.0,0.0,0.0,4
269,128.0,84.0,53.0,10.0,12.0,5.0,1.0,0.0,1.0,1
270,119.0,78.0,53.0,8.0,10.5,10.0,1.0,1.0,0.0,7
271,85.0,60.0,43.0,6.0,12.0,5.0,1.0,0.0,1.0,5
272,80.0,60.0,44.0,6.0,13.5,10.0,0.0,0.0,1.0,6
273,155.0,75.0,43.0,8.0,7.0,5.0,0.0,0.0,1.0,4
274,85.0,59.0,38.0,6.0,13.5,10.0,1.0,0.0,1.0,6
275,174.0,82.0,47.0,10.0,14.5,15.0,1.0,0.0,1.0,3
276,165.0,90.0,65.0,8.0,6.0,2.0,1.0,1.0,1.0,6
277,96.0,60.0,45.0,6.0,15.5,5.0,1.0,0.0,1.0,1
278,174.0,85.0,52.0,11.0,14.5,5.0,0.0,0.0,1.0,3
279,120.0,72.0,42.0,10.0,14.5,20.0,0.0,0.0,0.0,3
280,100.0,60.0,43.0,7.0,12.5,5.0,1.0,0.0,1.0,2
281,162.0,76.0,50.0,8.0,10.5,15.0,1.0,0.0,1.0,3
282,119.0,80.0,48.0,10.0,12.7,12.0,1.0,0.0,1.0,5
283,94.0,64.0,43.0,9.0,12.0,7.0,1.0,0.0,1.0,5
284,135.0,100.0,50.0,10.0,15.5,10.0,1.0,0.0,1.0,1
285,82.0,57.0,46.0,6.0,12.0,10.0,1.0,1.0,1.0,7
286,137.0,76.0,50.0,15.0,11.0,7.0,1.0,1.0,1.0,8
287,101.0,77.0,45.0,13.0,13.0,10.0,0.0,0.0,1.0,5
288,94.0,61.0,44.0,6.0,12.5,10.0,1.0,0.0,1.0,2
289,83.0,59.0,44.0,6.0,13.5,10.0,0.0,0.0,1.0,6
290,89.0,79.0,52.0,10.0,15.5,10.0,1.0,0.0,1.0,1
291,118.8,67.0,37.0,7.0,10.5,10.0,0.0,1.0,1.0,3
292,198.0,78.0,54.0,8.0,9.0,10.0,1.0,1.0,1.0,3
293,105.0,77.0,46.0,8.0,12.0,15.0,0.0,0.0,0.0,7
294,95.0,57.0,42.0,6.0,6.5,7.0,1.0,1.0,1.0,5
295,94.8,54.0,35.0,5.0,12.5,10.0,0.0,1.0,1.0,3
296,201.0,82.0,55.0,9.0,,7.0,1.0,0.0,1.0,1
297,185.0,76.0,43.0,10.0,8.0,10.0,1.0,0.0,1.0,1
298,127.0,76.0,42.0,10.0,13.5,10.0,0.0,0.0,1.0,6
299,77.0,50.0,34.0,6.0,13.5,2.0,1.0,0.0,1.0,6
300,112.0,63.0,45.0,7.0,13.5,7.0,0.0,0.0,1.0,1
301,360.0,127.0,66.0,15.0,12.5,5.0,1.0,1.0,1.0,3
302,159.6,65.0,47.0,8.0,,5.0,1.0,0.0,1.0,3
303,153.6,68.0,50.0,9.0,12.5,5.0,0.0,0.0,1.0,3
304,95.0,72.0,43.0,12.0,12.7,7.0,0.0,0.0,0.0,5
305,300.0,78.0,47.0,10.0,10.5,7.0,1.0,0.0,1.0,3
306,138.0,63.0,40.0,8.0,12.5,10.0,0.0,0.0,1.0,3
307,180.0,70.0,50.0,9.0,,7.0,1.0,1.0,1.0,3
